created_at,PM1,PM2,PM4,PM10
2020-03-25 23:04:13 UTC,38.18,38.46,38.6,38.64
2020-03-25 22:56:52 UTC,37.36,38.41,39.23,39.33
2020-03-25 22:49:23 UTC,38.06,39.14,39.61,39.69
2020-03-25 22:41:37 UTC,37.71,38.74,39.21,39.69
2020-03-25 22:34:16 UTC,37.54,36.53,38.78,38.88
2020-03-25 22:26:56 UTC,37.39,38.3,38.79,38.91
2020-03-25 22:17:47 UTC,37.17,37.78,37.96,37.64
2020-03-25 22:10:25 UTC,36.83,37.4,37.89,37.9
2020-03-25 22:02:52 UTC,37.08,38.03,38.63,38.74
2020-03-25 21:55:30 UTC,38.75,39.59,40.02,40.12
2020-03-25 21:48:08 UTC,38.38,38.27,39.02,39.11
2020-03-25 21:40:45 UTC,38.29,38.99,39.16,39.28
2020-03-25 21:33:23 UTC,38.05,38.2,38.11,38.17
2020-03-25 21:26:01 UTC,36.59,38.29,38.68,38.76
2020-03-25 21:18:40 UTC,37.57,38.67,39.14,39.24
2020-03-25 21:11:21 UTC,40.05,40.94,41.29,41.36
2020-03-25 20:57:33 UTC,43.89,44.22,44.28,45.29
2020-03-25 20:49:24 UTC,46.35,47.09,47.6,47.1
2020-03-25 20:42:04 UTC,45.19,49.9,45.83,49.63
2020-03-25 20:34:44 UTC,37.43,38.18,38.61,38.71
2020-03-25 20:27:25 UTC,39.14,40.23,40.46,40.57
2020-03-25 20:20:04 UTC,38.29,36.98,40.06,37.81
2020-03-25 20:12:33 UTC,36.3,37.15,37.54,37.62
2020-03-25 20:05:12 UTC,36.55,38.18,38.29,38.39
2020-03-25 19:57:49 UTC,35.19,35.91,36.24,36.28
2020-03-25 19:50:29 UTC,36.27,36.66,36.71,36.45
2020-03-25 19:43:09 UTC,35.66,35.85,35.97,36.01
2020-03-25 19:34:46 UTC,35.17,36.22,36.98,37.07
2020-03-25 19:27:22 UTC,34.91,36.55,36.91,37
2020-03-25 19:19:10 UTC,34.29,34.86,35.61,35.69
2020-03-25 19:11:01 UTC,33.33,34.04,34.29,34.34
2020-03-25 18:31:04 UTC,35.45,36.15,36.44,37.53
2020-03-25 18:23:41 UTC,34.68,35.48,35.81,35.88
2020-03-25 18:15:21 UTC,34.89,36.22,37.12,37.23
2020-03-25 17:50:46 UTC,40.04,40.85,41.42,41.53
2020-03-25 17:43:11 UTC,44.26,44.9,46.31,46.43
2020-03-25 17:35:50 UTC,33,33.58,33.71,33.74
2020-03-25 17:28:01 UTC,68.7,70.53,71.35,71.51
2020-03-25 17:20:34 UTC,50.2,52.63,53.15,54.62
2020-03-25 17:13:03 UTC,57.53,61.49,63.37,66.55
2020-03-25 17:04:57 UTC,54.38,56.02,57.2,57.37
2020-03-25 16:57:30 UTC,57.88,62.18,64.12,64.58
2020-03-25 16:49:49 UTC,39.31,40.02,40.23,40.26
2020-03-25 16:42:22 UTC,33.82,34.1,35.54,34.78
2020-03-25 16:34:56 UTC,32.2,33.01,33.14,33.17
2020-03-25 16:27:33 UTC,33.97,35.05,35.34,35.04
2020-03-25 16:20:09 UTC,35.45,36.04,36.25,36.3
2020-03-25 16:12:46 UTC,31.55,32.32,31.73,31.75
2020-03-25 16:05:23 UTC,30.7,30.83,31.03,31.06
2020-03-25 15:58:01 UTC,30.24,30.96,31.04,31.06
2020-03-25 15:42:53 UTC,29.37,30,30.3,30.38
2020-03-25 15:28:12 UTC,27.54,27.99,27.86,28.21
2020-03-25 15:20:46 UTC,27.89,28.51,28.75,28.55
2020-03-25 15:05:24 UTC,26.99,27.82,27.54,28.03
2020-03-25 14:57:26 UTC,27.51,27.97,28.15,28.19
2020-03-25 14:49:01 UTC,26,26.69,26.58,26.57
2020-03-25 14:39:53 UTC,25.91,27.97,28.01,28.02
2020-03-25 14:31:15 UTC,22.91,23.53,23.59,23.6
2020-03-25 14:21:31 UTC,24.99,24.86,24.9,24.93
2020-03-25 14:05:13 UTC,23.23,23.45,23.48,23.51
2020-03-25 13:57:49 UTC,24,23.8,24.01,24.03
2020-03-25 13:40:17 UTC,24.26,23.1,23.59,23.67
2020-03-25 13:03:20 UTC,23.92,24.52,24.47,24.5
2020-03-25 12:45:41 UTC,24.74,25.26,25.28,25.28
2020-03-25 12:36:01 UTC,25.31,25.66,25.67,25.93
2020-03-25 12:12:34 UTC,24.93,25.49,24.86,24.87
2020-03-25 12:03:53 UTC,25.68,25.94,25.97,25.98
2020-03-25 11:48:09 UTC,22.01,22.51,23.08,23.09
2020-03-25 11:39:54 UTC,17.11,17.58,17.84,17.85
2020-03-25 11:32:05 UTC,14.9,15.07,15.07,15.07
2020-03-25 11:24:28 UTC,13.04,13.08,13.16,13.17
2020-03-25 10:58:11 UTC,13.46,13.76,13.21,13.22
2020-03-25 10:43:56 UTC,15.41,15.59,15.6,15.59
2020-03-25 10:35:03 UTC,17.59,17.8,17.9,17.95
2020-03-25 10:27:15 UTC,19.97,19.24,20.16,19.46
2020-03-25 10:18:04 UTC,20.17,20.52,20.64,20.64
2020-03-25 10:02:19 UTC,15.51,16.05,16.24,16.28
2020-03-25 09:53:07 UTC,13.78,13.94,14.18,14.19
2020-03-25 09:45:32 UTC,15.51,16.35,16.41,16.43
2020-03-25 09:37:57 UTC,19.89,20.48,20.81,21.18
2020-03-25 09:30:02 UTC,19.78,20.43,20.69,20.74
2020-03-25 09:21:55 UTC,23.93,24.49,24.79,24.87
2020-03-25 09:03:25 UTC,23.39,24.06,24.13,24.15
2020-03-25 08:55:55 UTC,24.16,24.24,24.26,24.77
2020-03-25 08:48:27 UTC,26.37,28.34,28.6,28.64
2020-03-25 08:39:21 UTC,28.72,29.17,29.23,29.29
2020-03-25 08:14:37 UTC,22.1,22.33,22.33,22.33
2020-03-25 08:06:14 UTC,20.83,22.18,22.2,22.21
2020-03-25 07:49:40 UTC,21.69,21.97,22.34,20.83
2020-03-25 07:42:15 UTC,20.28,20.53,20.54,20.55
2020-03-25 07:34:50 UTC,22.12,22.36,22.36,22.36
2020-03-25 07:27:23 UTC,20.18,21.34,21.34,21.36
2020-03-25 07:19:34 UTC,21.01,21.23,21.23,21.24
2020-03-25 07:12:09 UTC,20.92,21.14,21.13,21.14
2020-03-25 07:04:39 UTC,20.55,20.75,20.76,20.76
2020-03-25 06:57:18 UTC,20.95,21.17,21.17,21.17
2020-03-25 06:49:53 UTC,21.67,21.92,22.18,21.76
2020-03-25 06:41:48 UTC,21.49,21.76,21.61,21.61
